SEMANA,DÍA EN NÚMERO DE LA SEMANA,DÍA DE LA SEMANA,MES,NOMBRE MEDIO,TIER,CORRESPONSAL 1,CORRESPONSAL 2,ENCABEZADO,TEMA,TEMA 2,PALABRA CLAVE,COYUNTURA,ACTOR OFICIAL 1,ACTOR OFICIAL 2,ACTOR OFICIAL 3,ACTOR NO OFICIAL 1,ACTOR NO OFICIAL 2,ACTOR NO OFICIAL 3,ESTADO DE LA REPÚBLICA,ESTADO DE LA REPÚBLICA  2,TENDENCIA,IMPRESA,PRIMERA PLANA,AÑO
1,4,Lunes,Enero,NPR,3,ND,ND,Natalia Lafourcade Explains The Roots Of 'Hasta La Raíz',Social/Turismo,ND,Cultura,Coyuntura,ND,ND,ND,Natalia LaFourcade,ND,ND,ND,ND,Informativa,NO,NO,2016
1,4,Lunes,Enero,Univision,4,ND,ND,Difunden las primeras imágenes del filme sobre la fuga de El Chapo,Seguridad,ND,Fuga Chapo,Coyuntura,Segob,ND,ND,El Chapo,Axel Uriegas,Dragon Films,Estado de México,ND,Negativa,NO,NO,2016
1,5,Martes,Enero,Dallas Morning News,3,Alfredo Corchado,ND,Corruption poses huge challenge for Mexican president,Presidente,Político,Críticas,Crisis 2014,Presidente Peña Nieto,Francisco,ND,Andrew Selee,Maureen Meyer,Alejandro Hope,ND,ND,Negativa,SÍ,SÍ,2016
1,5,Martes,Enero,Bloomberg,Agencia,Nechoma Nacha Cattan,ND,The Mexico Car Market Is So Hot Even Volkswagen Posts Sales Gain,Económico,ND,Industria automotriz,Coyuntura,México,ND,ND,Volkswagen,AMDA,Gabriel Lozano,ND,ND,Positiva,NO,NO,2016
1,5,Martes,Enero,TIME,4,ND,ND,Here’s What’s Wrong With Donald Trump’s Campaign Ad,Político,ND,Elecciones EE.UU.,Coyuntura,ND,ND,ND,Donald Trump,Corey Lewandowski,ND,ND,ND,Negativa,NO,NO,2016
1,5,Martes,Enero,MSNBC,3,ND,ND,Trump takes a different tack as protesters punctuate event,Político,ND,Elecciones EE.UU.,Coyuntura,Presidente Obama,John Kerry,ND,Donald Trump,Hillary Clinton,Jeb Bush,ND,ND,Negativa,NO,NO,2016
1,5,Martes,Enero,Dallas Morning News,3,ND,ND,Ethan Couch's mother to appear in Los Angeles court for extradition hearing today,Seguridad,ND,Cooperación,Coyuntura,EUA,ND,ND,Ethan Couch,Tonya Couch,Fernando Benítez,Distrito Federal,ND,Informativa,NO,NO,2015
1,5,Martes,Enero,CBS News,3,ND,ND,Victim's father assails affluenza teen's legal fight,Seguridad,ND,Cooperación,Coyuntura,INM,ND,ND,Ethan Couch,Fernando Benítez,Kevin McConnell,Distrito Federal,ND,Informativa,NO,NO,2015
1,5,Martes,Enero,Fox News,4,ND,ND,This year will feature plenty of international intrigue for MLB,Social/Turismo,ND,Deportes,Coyuntura,EUA,Cuba,ND,ND,ND,ND,ND,ND,Positiva,NO,NO,2015
1,5,Martes,Enero,San Antonio Express News,2,ND,ND,"Texas-born drug cartel leader, La Barbie, set to plead to guilty in U.S. courtroom ",Seguridad,ND,Cooperación,Coyuntura,William Duffey,ND,ND,Édgar Valdez,Kent Schaffer,Juan García,ND,ND,Positiva,NO,NO,2016
1,5,Martes,Enero,Houston Chronicle,3,ND,ND,"Texas-born drug cartel leader, La Barbie, set to plead to guilty in U.S. courtroom ",Seguridad,ND,Cooperación,Coyuntura,William Duffey,ND,ND,Édgar Valdez,Kent Schaffer,Juan García,ND,ND,Positiva,NO,NO,2016
1,5,Martes,Enero,Dallas Morning News,3,ND,ND,"Texas-born drug cartel leader, La Barbie, set to plead to guilty in U.S. courtroom ",Seguridad,ND,Cooperación,Coyuntura,William Duffey,ND,ND,Édgar Valdez,Kent Schaffer,Juan García,ND,ND,Positiva,NO,NO,2016
1,5,Martes,Enero,Forbes,3,ND,ND,"Mexico Rejects The NY Times Criticism Of President's ""Stubborn"" Resistance To Accountability",Presidente,Político,Tercer año,Crisis 2014,Presidente Peña Nieto,PRI,Paulo Carreño,New York Times,El Chapo,Andrew Rosenthal,Varios,ND,Positiva,NO,NO,2016
1,5,Martes,Enero,Wall Street Journal,4,Laurence Illiff,ND,Mexico Struggles to Clear Up 2014 Death of 43 Students,Seguridad,ND,Caso Iguala,Crisis 2014,Presidente Peña Nieto,PGR,Jesús Murillo Karam,Patricio Reyes,Sergio Aguayo,El Chapo,Varios,ND,Negativa,NO,NO,2016
1,5,Martes,Enero,Christian Science Monitor,3,ND,ND,Why Mexico's mayors are in cartels' crosshairs,Seguridad,Político,Amenazas del Narco,Crisis 2014,Gisela Mota,Presidente Peña Nieto,ND,Armand Peschard,Alejandro Schtulmann,Pedro de la Cruz,Varios,ND,Negativa,NO,NO,2016
1,5,Martes,Enero,Univision,4,ND,ND,Surge vínculo entre asesinato de alcaldesa mexicana y pugna entre cárteles,Seguridad,Político,Amenazas del Narco,Crisis 2014,Gisela Mota,Graco Ramírez,PRD,Guerreros Unidos,Los Rojos,José Luis Abarca,Varios,ND,Negativa,NO,NO,2016
1,5,Martes,Enero,CNN,4,ND,ND,Alleged drug lord 'La Barbie' to plead guilty to U.S. charges,Seguridad,ND,Golpes contra el narco,Coyuntura,EUA,ND,ND,Édgar Valdez,Arturo Beltrán Leyva,El Chapo,Varios,ND,Informativa,NO,NO,2016
1,5,Martes,Enero,NBC News,3,ND,ND,Affluenza' Teen's Mexican Lawyer Hints at Human Rights Issues,Seguridad,ND,Cooperación,Coyuntura,EUA,ND,ND,Ethan Couch,Fernando Benítez,American Psychiatric Association,Varios,ND,Informativa,NO,NO,2016
1,5,Martes,Enero,CBS News,3,ND,ND,Mexican mayor's killers start revealing drug war secrets,Seguridad,Político,Amenazas del Narco,Crisis 2014,Gisela Mota,Graco Ramírez,ND,Guerreros Unidos,Los Rojos,ND,Varios,ND,Negativa,NO,NO,2016
1,5,Martes,Enero,Fox News,4,ND,ND,Affluenza' teen hires same Mexican lawyer who helped ex-U.S. Marine Tahmooressi,Seguridad,ND,Cooperación,Coyuntura,México,EUA,ND,Ethan Couch,Andrew Tahmooressi,Fernando Benítez,Baja California,ND,Informativa,NO,NO,2016
1,5,Martes,Enero,Huffington Post,3,ND,ND,Involucran a Cuauhtémoc Blanco con el crimen organizado,Seguridad,ND,Corrupción,Coyuntura,Cuauhtémoc Blanco,Graco Ramírez,ND,Federico Figueroa,Guerreros Unidos,ND,Morelos,Guerrero,Negativa,NO,NO,2016
1,5,Martes,Enero,CNN,4,ND,ND,Affluenza' teen's mother set to be extradited to Texas,Seguridad,ND,Cooperación,Coyuntura,México,EUA,ND,Ethan Couch,Tonya Couch,Fernando Benítez,Distrito Federal,ND,Informativa,NO,NO,2016
1,5,Martes,Enero,Global Post,2,ND,ND,Los Rojos gang is suspected of murdering a Mexican mayor a day after she took office,Seguridad,Político,Amenazas del Narco,Coyuntura,Gisela Mota,Graco Ramírez,Congreso,Los Rojos,Guerreros Unidos,ND,Morelos,ND,Negativa,NO,NO,2016
1,5,Martes,Enero,Univision,4,ND,ND,Abogado asegura que La Barbie se declarará culpable de narcotráfico en Estados Unidos,Seguridad,ND,Golpes contra el narco,Coyuntura,México,FBI,DEA,Édgar Valdez,Cártel de los Beltrán Leyva,ND,ND,ND,Positiva,NO,NO,2016
1,5,Martes,Enero,Fusion,2,ND,ND,Mexico City proposes futuristic floating gondolas to combat traffic,Político,ND,D.F.,Coyuntura,ND,ND,ND,"Ministerio de la ciencia, la innovación y la tecnología de la Ciudad de México",Luis Rodolfo Zamorano,ND,Distrito Federal,ND,Informativa,NO,NO,2016
1,5,Martes,Enero,New York Times,4,ND,ND,1941: Mexico Reports New Nazi Plot,Político,Social/Turismo,Cultura,Coyuntura,México,ND,ND,Franklin Roosevelt,Manuel Ávila Camacho,ND,Distrito Federal,Nuevo León,Informativa,NO,NO,2016
1,5,Martes,Enero,Fox News,4,ND,ND,Pope asks Mexican tourist in Rome to get the tequila ready for his February visit,Político,Social/Turismo,Visita Papa,Coyuntura,Francisco,ND,ND,Carlos Alberto Cardona,ND,ND,Varios,,Positiva,NO,NO,2016
1,5,Martes,Enero,Fusion,2,ND,ND,Pope Francis wonders if Mexicans will greet him with tequila,Político,Social/Turismo,Visita Papa,Coyuntura,México,Francisco,Presidente Peña Nieto,ND,ND,ND,Chiapas,Distrito Federal,Informativa,NO,NO,2016
1,5,Martes,Enero,Fox News,4,ND,ND,Pope asks Mexican tourist in Rome to get the tequila ready for his February visit,Político,Social/Turismo,Visita Papa,Coyuntura,Francisco,México,ND,ND,ND,ND,Varios,ND,Informativa,NO,NO,2016
1,6,Miércoles,Enero,TIME,4,ND,ND,Psst: Illegal Immigration Is Actually Declining,Político,Social/Turismo,Migración,Coyuntura,Ted Cruz,ND,ND,Donald Trump,Pew Center ,ND,ND,ND,Informativa,NO,NO,2016
1,6,Miércoles,Enero,Univision,4,ND,ND,El alto índice de asesinatos hace descender la esperanza de vida de los mexicanos,Seguridad,ND,Cifras,Coyuntura,EUA,Honduras,Colombia,Health Affairs,Hiram Beltrán,Felipe Calderón,Hidalgo,Morelos,Negativa,NO,NO,2015
1,6,Miércoles,Enero,NPR,3,ND,ND,Mi Familia In Movies: Films Mexican-American Millennials Grew Up On,Social/Turismo,ND,Cultura,Coyuntura,EUA,ND,ND,Yolanda Saldívar,Cheech Marin,Gregory Nava,Baja California,ND,Informativa,NO,NO,2015
1,6,Miércoles,Enero,Univision,4,ND,ND,"Otra mujer asumirá el cargo de Gisela Mota, la alcaldesa de Temixco asesinada",Seguridad,Político,Amenazas del narco,Coyuntura,Gisela Mota,Gerardo Hurtado,ND,Irma Camacho,ND,ND,Morelos,ND,Balanceada,NO,NO,2016
1,6,Miércoles,Enero,CNN,4,ND,ND,Alleged drug lord 'La Barbie' pleads guilty to U.S. charges,Seguridad,ND,Cooperación,Coyuntura,Corte EUA,ND,ND,Édgar Valdez,El Chapo,Arturo Beltrán Leyva,ND,ND,Positiva,NO,NO,2016
1,6,Miércoles,Enero,Newsweek,3,ND,ND,SODA TAX IN MEXICO CAUSES SERIOUS SALES DIP IN SUGARY DRINKS,Económico,Político,Reforma fiscal,Implementación,Arantxa Colchero,ND,ND,Universidad de Illinois,ND,ND,ND,ND,Positiva,NO,NO,2016
1,6,Miércoles,Enero,CNN,4,ND,ND,Alleged serial killer arrested in Mexico,Seguridad,ND,Delitos,Coyuntura,PGJ,ND,ND,Andrés Castillo,ND,ND,Chihuahua,ND,Positiva,NO,NO,2016
